drawDate,digit1,digit2,digit3,digit4,digit5,digit6
9/14/2022,21,25,28,39,41,45
9/14/2022,9,33,38,41,42,49
9/10/2022,1,4,12,19,43,44
9/10/2022,17,21,24,29,48,52
9/7/2022,1,6,31,35,37,49
9/7/2022,3,8,15,17,21,44
9/3/2022,7,16,23,33,50,51
9/3/2022,10,11,16,23,49,50
8/31/2022,8,13,30,32,36,49
8/31/2022,9,10,13,18,27,53
8/27/2022,6,18,28,30,41,44
8/27/2022,1,18,29,38,43,44
8/24/2022,5,7,16,21,30,35
8/24/2022,22,29,38,39,43,53
8/20/2022,17,28,29,38,49,50
8/20/2022,9,31,43,45,50,53
8/17/2022,5,11,20,24,29,35
8/17/2022,11,12,15,16,37,43
8/13/2022,6,15,17,20,47,49
8/13/2022,3,11,25,45,51,52
8/10/2022,6,11,40,42,47,50
8/10/2022,3,7,32,44,45,47
8/6/2022,4,10,12,26,34,51
8/6/2022,7,25,32,33,44,47
8/3/2022,3,9,18,19,25,40
8/3/2022,6,12,21,30,35,50
7/30/2022,6,7,9,25,45,50
7/30/2022,6,16,24,31,45,51
7/27/2022,20,23,25,26,36,50
7/27/2022,12,17,20,31,32,48
7/23/2022,7,11,20,32,42,51
7/23/2022,7,11,34,39,40,47
7/20/2022,27,32,36,38,40,48
7/20/2022,3,22,29,36,39,41
7/16/2022,2,4,13,23,39,40
7/16/2022,2,4,28,36,46,48
7/13/2022,13,21,24,31,32,33
7/13/2022,3,8,10,22,43,53
7/9/2022,2,9,33,37,40,47
7/9/2022,1,3,5,27,34,52
7/6/2022,7,18,20,40,43,45
7/6/2022,19,34,39,44,48,51
7/2/2022,3,5,9,20,34,47
7/2/2022,24,31,37,40,48,52
6/29/2022,5,8,23,31,40,52
6/29/2022,1,6,9,26,43,45
6/25/2022,2,3,7,22,36,43
6/25/2022,1,16,22,28,43,49
6/22/2022,19,20,24,32,51,52
6/22/2022,11,12,17,39,51,52
6/18/2022,9,37,42,44,45,50
6/18/2022,4,12,20,29,32,53
6/15/2022,10,14,15,23,41,48
6/15/2022,11,20,24,27,48,50
6/11/2022,1,9,38,45,51,52
6/11/2022,13,23,32,36,44,45
6/8/2022,2,8,9,15,43,50
6/8/2022,10,19,23,46,47,50
6/4/2022,1,2,8,13,19,50
6/4/2022,11,21,29,41,48,51
6/1/2022,11,15,33,38,42,51
6/1/2022,10,29,40,41,47,51
5/28/2022,2,7,14,16,28,30
5/28/2022,9,17,19,20,26,47
5/25/2022,4,13,29,32,46,53
5/25/2022,7,8,12,17,23,44
5/21/2022,23,27,31,35,47,49
5/21/2022,3,11,23,29,52,53
5/18/2022,5,13,26,29,34,45
5/18/2022,7,17,34,40,41,52
5/14/2022,5,6,11,17,24,33
5/14/2022,13,19,28,31,39,50
5/11/2022,3,5,6,7,8,10
5/11/2022,16,22,33,40,44,52
5/7/2022,22,30,33,37,44,53
5/7/2022,1,25,27,35,52,53
5/4/2022,7,9,11,37,41,48
5/4/2022,2,22,27,40,42,51
4/30/2022,4,5,10,38,39,46
4/30/2022,2,24,26,36,39,48
4/27/2022,6,27,38,48,49,52
4/27/2022,1,7,20,33,42,48
4/23/2022,2,13,27,30,39,42
4/23/2022,4,6,14,19,33,41
4/20/2022,3,13,32,33,38,50
4/20/2022,8,12,16,20,46,50
4/16/2022,27,37,39,40,44,47
4/16/2022,1,9,23,28,39,50
4/13/2022,21,30,38,43,48,49
4/13/2022,9,21,23,26,29,37
4/9/2022,2,26,38,40,43,50
4/9/2022,2,17,39,42,44,46
4/6/2022,5,7,10,26,36,48
4/6/2022,13,18,20,22,36,44
4/2/2022,4,13,23,25,28,45
4/2/2022,10,14,18,25,40,45
3/30/2022,5,9,25,44,47,48
3/30/2022,12,30,34,41,42,52
3/26/2022,18,22,24,48,51,53
3/26/2022,1,11,16,21,45,47
3/23/2022,6,9,12,17,19,41
3/23/2022,11,15,24,32,36,39
3/19/2022,1,9,16,25,31,32
3/19/2022,6,8,35,38,49,52
3/16/2022,8,27,34,36,38,50
3/16/2022,14,29,39,40,51,53
3/12/2022,17,21,25,31,40,44
3/12/2022,3,10,11,20,25,48
3/9/2022,2,12,14,24,48,50
3/9/2022,1,8,20,23,36,53
3/5/2022,9,12,13,19,21,31
3/5/2022,4,8,33,39,41,53
3/2/2022,16,32,35,39,40,43
3/2/2022,3,20,33,37,42,49
2/26/2022,21,23,34,35,38,39
2/26/2022,7,9,25,31,36,49
2/23/2022,8,24,35,36,45,52
2/23/2022,2,8,9,11,39,53
2/19/2022,15,26,36,43,44,53
2/19/2022,18,21,29,31,37,40
2/16/2022,2,10,18,29,31,49
2/16/2022,7,18,22,30,41,49
2/12/2022,2,6,13,16,32,47
2/12/2022,8,11,30,39,42,53
2/9/2022,7,9,35,38,45,47
2/9/2022,1,3,5,9,25,26
2/5/2022,4,6,36,39,42,44
2/5/2022,2,6,21,40,51,52
2/2/2022,5,17,26,47,52,53
2/2/2022,26,33,37,38,39,41
1/29/2022,17,22,26,33,39,47
1/29/2022,16,28,31,32,34,47
1/26/2022,9,15,17,25,45,46
1/26/2022,2,9,30,38,41,51
1/22/2022,9,24,32,39,51,52
1/22/2022,15,33,40,41,43,53
1/19/2022,5,12,30,31,48,49
1/19/2022,6,9,17,33,35,36
1/15/2022,13,18,22,40,45,50
1/15/2022,5,11,16,22,26,48
1/12/2022,2,9,17,33,34,35
1/12/2022,1,5,17,23,40,46
1/8/2022,9,13,28,38,48,49
1/8/2022,5,9,11,20,22,43
1/5/2022,9,38,42,45,48,51
1/5/2022,6,18,25,32,46,50
1/1/2022,2,8,20,31,39,51
1/1/2022,3,4,6,17,30,53
12/29/2021,10,14,15,27,35,45
12/29/2021,5,27,35,38,48,49
12/25/2021,2,8,27,40,43,47
12/25/2021,6,13,19,46,50,53
12/22/2021,7,19,27,40,44,46
12/22/2021,1,25,34,42,44,48
12/18/2021,6,7,15,25,27,42
12/18/2021,13,23,32,34,46,47
12/15/2021,4,13,23,39,44,46
12/15/2021,19,21,23,29,43,46
12/11/2021,9,37,41,43,45,51
12/11/2021,29,33,34,38,44,51
12/8/2021,16,18,25,30,49,50
12/8/2021,16,21,28,33,37,43
12/4/2021,9,15,19,20,24,47
12/4/2021,10,12,24,27,37,48
12/1/2021,15,22,25,27,36,45
12/1/2021,11,21,25,32,43,50
11/27/2021,2,3,6,12,20,51
